product_id,product_name,brand,price_current,price_original,discount_percentage,rating,review_count,availability,image_url,product_url,platform,scraped_at
B0DV56NSMG,"The Ultimate Aroma Rice Cooker Cookbook: 110 Quick, Easy, & Delicious Aroma Rice Cooker Recipes for Breakfast, Rice, Pasta, Soups, Vegetarian, Stews, Chicken, Seafood, Beef, Desserts and More","The Ultimate Aroma Rice Cooker Cookbook: 110 Quick, Easy, & Delicious Aroma Rice Cooker Recipes for Breakfast, Rice, Pasta, Soups, Vegetarian, Stews, Chicken, Seafood, Beef, Desserts and More",9.0,,,,,True,https://m.media-amazon.com/images/I/71y+WaibpHL._AC_UL320_.jpg,https://www.amazon.com/Ultimate-Aroma-Rice-Cooker-Cookbook/dp/B0DV56NSMG/ref=sr_1_32?dib=eyJ2IjoiMSJ9.f2ErCrCPpEfN78nkOH6y-GGCQhCRUwGq3npei3lrxK9T87LSs5rt10uZ298mnjqAk0JNqVS6WZE5KeSbG4ZAXNmdmx-N-kHgsrtwgClb5oLeDJ9SiQRT1Cbwu1KXSHrtKQF9tL2nfNIJwkr7cE42rwxWkbyunYeFcJa8RZDjdb1M9cJxPVoN8yoWPF2Gzf7lvDScbZeYMpt60A1sdLV1Qe51VqxoAz_ECynrW_cZplp5Ma9GbyWnzYfXlmn_CAg7YxU46XTd-4Yd6pgSRq22WDZ2hhTA8F94TEYbiq6Mdw4.hfMSCBzTUNaYaJUv0SHe5b401k1Zp7_wRtPY_F2_5Hg&dib_tag=se&keywords=rice&qid=1752808082&sr=8-32,Amazon,2025-07-18T08:38:50.239592
B0116DTADC,101 Things To Do With Rice,101 Things To Do With Rice,0.0,,,4.5,101,True,https://m.media-amazon.com/images/I/8167QLqYG6L._AC_UL320_.jpg,https://www.amazon.com/101-Things-Rice-Donna-Kelly-ebook/dp/B0116DTADC/ref=sr_1_33?dib=eyJ2IjoiMSJ9.f2ErCrCPpEfN78nkOH6y-GGCQhCRUwGq3npei3lrxK9T87LSs5rt10uZ298mnjqAk0JNqVS6WZE5KeSbG4ZAXNmdmx-N-kHgsrtwgClb5oLeDJ9SiQRT1Cbwu1KXSHrtKQF9tL2nfNIJwkr7cE42rwxWkbyunYeFcJa8RZDjdb1M9cJxPVoN8yoWPF2Gzf7lvDScbZeYMpt60A1sdLV1Qe51VqxoAz_ECynrW_cZplp5Ma9GbyWnzYfXlmn_CAg7YxU46XTd-4Yd6pgSRq22WDZ2hhTA8F94TEYbiq6Mdw4.hfMSCBzTUNaYaJUv0SHe5b401k1Zp7_wRtPY_F2_5Hg&dib_tag=se&keywords=rice&qid=1752808082&sr=8-33,Amazon,2025-07-18T08:38:51.489286
B0BD4PRBVZ,"Rice Cooker 10 Cup, 24h Keep Warm, 18 Functions Fuzzy Logic Rice Maker with Stainless Steel Steamer Basket, Sauté, Slow Cooker, Black",COSORI,89.0,,,4.8,,True,https://m.media-amazon.com/images/I/71d+Sn1-K9L._AC_UL320_.jpg,https://www.amazon.com/COSORI-Uncooked-Functions-Technology-Stainless/dp/B0BD4PRBVZ/ref=sr_1_34?dib=eyJ2IjoiMSJ9.f2ErCrCPpEfN78nkOH6y-GGCQhCRUwGq3npei3lrxK9T87LSs5rt10uZ298mnjqAk0JNqVS6WZE5KeSbG4ZAXNmdmx-N-kHgsrtwgClb5oLeDJ9SiQRT1Cbwu1KXSHrtKQF9tL2nfNIJwkr7cE42rwxWkbyunYeFcJa8RZDjdb1M9cJxPVoN8yoWPF2Gzf7lvDScbZeYMpt60A1sdLV1Qe51VqxoAz_ECynrW_cZplp5Ma9GbyWnzYfXlmn_CAg7YxU46XTd-4Yd6pgSRq22WDZ2hhTA8F94TEYbiq6Mdw4.hfMSCBzTUNaYaJUv0SHe5b401k1Zp7_wRtPY_F2_5Hg&dib_tag=se&keywords=rice&qid=1752808082&sr=8-34,Amazon,2025-07-18T08:38:53.086859
B0F4KG4X4S,"Rice Foam Cleanser - Gentle Korean Face Wash with Rice Extract, Niacinamide and Hyaluronic Acid – Deeply Hydrating, Brightening for All Skin Types - 200ml / 6.76 fl oz- Made In Korea","Rice Foam Cleanser - Gentle Korean Face Wash with Rice Extract, Niacinamide and Hyaluronic Acid – Deeply Hydrating, Brightening for All Skin Types - 200ml / 6.76 fl oz- Made In Korea",,,,4.6,1,False,https://m.media-amazon.com/images/I/61XpNy7rHvL._AC_UL320_.jpg,https://www.amazon.com/SOQU-Rice-Foam-Cleanser-Niacinamide/dp/B0F4KG4X4S/ref=sr_1_35?dib=eyJ2IjoiMSJ9.f2ErCrCPpEfN78nkOH6y-GGCQhCRUwGq3npei3lrxK9T87LSs5rt10uZ298mnjqAk0JNqVS6WZE5KeSbG4ZAXNmdmx-N-kHgsrtwgClb5oLeDJ9SiQRT1Cbwu1KXSHrtKQF9tL2nfNIJwkr7cE42rwxWkbyunYeFcJa8RZDjdb1M9cJxPVoN8yoWPF2Gzf7lvDScbZeYMpt60A1sdLV1Qe51VqxoAz_ECynrW_cZplp5Ma9GbyWnzYfXlmn_CAg7YxU46XTd-4Yd6pgSRq22WDZ2hhTA8F94TEYbiq6Mdw4.hfMSCBzTUNaYaJUv0SHe5b401k1Zp7_wRtPY_F2_5Hg&dib_tag=se&keywords=rice&qid=1752808082&sr=8-35,Amazon,2025-07-18T08:38:54.689902
125080910X,The Simple Art of Rice: Recipes from Around the World for the Heart of Your Table,The Simple Art of Rice: Recipes from Around the World for the Heart of Your Table,19.0,,,4.8,,True,https://m.media-amazon.com/images/I/91R2jb1+CNL._AC_UL320_.jpg,https://www.amazon.com/Simple-Art-Rice-Recipes-Around/dp/125080910X/ref=sr_1_36?dib=eyJ2IjoiMSJ9.f2ErCrCPpEfN78nkOH6y-GGCQhCRUwGq3npei3lrxK9T87LSs5rt10uZ298mnjqAk0JNqVS6WZE5KeSbG4ZAXNmdmx-N-kHgsrtwgClb5oLeDJ9SiQRT1Cbwu1KXSHrtKQF9tL2nfNIJwkr7cE42rwxWkbyunYeFcJa8RZDjdb1M9cJxPVoN8yoWPF2Gzf7lvDScbZeYMpt60A1sdLV1Qe51VqxoAz_ECynrW_cZplp5Ma9GbyWnzYfXlmn_CAg7YxU46XTd-4Yd6pgSRq22WDZ2hhTA8F94TEYbiq6Mdw4.hfMSCBzTUNaYaJUv0SHe5b401k1Zp7_wRtPY_F2_5Hg&dib_tag=se&keywords=rice&qid=1752808082&sr=8-36,Amazon,2025-07-18T08:38:56.375981
B08JLPTN3L,101 Yummy Wild Rice Recipes: A Yummy Wild Rice Cookbook for All Generation,101 Yummy Wild Rice Recipes: A Yummy Wild Rice Cookbook for All Generation,0.0,,,,,True,https://m.media-amazon.com/images/I/71gugBl5eQL._AC_UL320_.jpg,https://www.amazon.com/101-Yummy-Wild-Rice-Recipes-ebook/dp/B08JLPTN3L/ref=sr_1_38?dib=eyJ2IjoiMSJ9.f2ErCrCPpEfN78nkOH6y-GGCQhCRUwGq3npei3lrxK9T87LSs5rt10uZ298mnjqAk0JNqVS6WZE5KeSbG4ZAXNmdmx-N-kHgsrtwgClb5oLeDJ9SiQRT1Cbwu1KXSHrtKQF9tL2nfNIJwkr7cE42rwxWkbyunYeFcJa8RZDjdb1M9cJxPVoN8yoWPF2Gzf7lvDScbZeYMpt60A1sdLV1Qe51VqxoAz_ECynrW_cZplp5Ma9GbyWnzYfXlmn_CAg7YxU46XTd-4Yd6pgSRq22WDZ2hhTA8F94TEYbiq6Mdw4.hfMSCBzTUNaYaJUv0SHe5b401k1Zp7_wRtPY_F2_5Hg&dib_tag=se&keywords=rice&qid=1752808082&sr=8-38,Amazon,2025-07-18T08:38:59.636932
B0D7369B9V,Nadeshiko Rice Mask (10 pieces) - Imported from Japan,Nadeshiko Rice Mask (10 pieces) - Imported from Japan,,,,4.8,10,False,https://m.media-amazon.com/images/I/61ifHUlmfqL._AC_UL320_.jpg,https://www.amazon.com/Gemini-Imports-Inc-Ishizawa-Nadeshiko/dp/B0D7369B9V/ref=sr_1_39?dib=eyJ2IjoiMSJ9.f2ErCrCPpEfN78nkOH6y-GGCQhCRUwGq3npei3lrxK9T87LSs5rt10uZ298mnjqAk0JNqVS6WZE5KeSbG4ZAXNmdmx-N-kHgsrtwgClb5oLeDJ9SiQRT1Cbwu1KXSHrtKQF9tL2nfNIJwkr7cE42rwxWkbyunYeFcJa8RZDjdb1M9cJxPVoN8yoWPF2Gzf7lvDScbZeYMpt60A1sdLV1Qe51VqxoAz_ECynrW_cZplp5Ma9GbyWnzYfXlmn_CAg7YxU46XTd-4Yd6pgSRq22WDZ2hhTA8F94TEYbiq6Mdw4.hfMSCBzTUNaYaJUv0SHe5b401k1Zp7_wRtPY_F2_5Hg&dib_tag=se&keywords=rice&qid=1752808082&sr=8-39,Amazon,2025-07-18T08:39:01.424294
B016Y8JSC2,"16-Cup Rice Cooker, 8-Cup Uncooked Rice, Steaming Basket, Removable Non-Stick Bowl, One Touch, Keep Warm",BLACK+DECKER,39.0,,,4.3,,True,https://m.media-amazon.com/images/I/41qJ8qzFstL._AC_UL320_.jpg,https://www.amazon.com/BLACK-DECKER-Steaming-Removable-Non-Stick/dp/B016Y8JSC2/ref=sr_1_40?dib=eyJ2IjoiMSJ9.f2ErCrCPpEfN78nkOH6y-GGCQhCRUwGq3npei3lrxK9T87LSs5rt10uZ298mnjqAk0JNqVS6WZE5KeSbG4ZAXNmdmx-N-kHgsrtwgClb5oLeDJ9SiQRT1Cbwu1KXSHrtKQF9tL2nfNIJwkr7cE42rwxWkbyunYeFcJa8RZDjdb1M9cJxPVoN8yoWPF2Gzf7lvDScbZeYMpt60A1sdLV1Qe51VqxoAz_ECynrW_cZplp5Ma9GbyWnzYfXlmn_CAg7YxU46XTd-4Yd6pgSRq22WDZ2hhTA8F94TEYbiq6Mdw4.hfMSCBzTUNaYaJUv0SHe5b401k1Zp7_wRtPY_F2_5Hg&dib_tag=se&keywords=rice&qid=1752808082&sr=8-40,Amazon,2025-07-18T08:39:02.614592
B0FCW7R3TN,"AROMA HOUSEWARES 6-CUP RICE COOKER COOKBOOK COLOR EDITION: Quick & Easy Recipes for Busy People, Beginners, and Small Families (The Aroma Kitchen Mastery Series 1)","AROMA HOUSEWARES 6-CUP RICE COOKER COOKBOOK COLOR EDITION: Quick & Easy Recipes for Busy People, Beginners, and Small Families (The Aroma Kitchen Mastery Series 1)",0.0,,,,,True,https://m.media-amazon.com/images/I/71zkuy-wBYL._AC_UL320_.jpg,https://www.amazon.com/AROMA-HOUSEWARES-6-CUP-COOKER-COOKBOOK-ebook/dp/B0FCW7R3TN/ref=sr_1_41?dib=eyJ2IjoiMSJ9.f2ErCrCPpEfN78nkOH6y-GGCQhCRUwGq3npei3lrxK9T87LSs5rt10uZ298mnjqAk0JNqVS6WZE5KeSbG4ZAXNmdmx-N-kHgsrtwgClb5oLeDJ9SiQRT1Cbwu1KXSHrtKQF9tL2nfNIJwkr7cE42rwxWkbyunYeFcJa8RZDjdb1M9cJxPVoN8yoWPF2Gzf7lvDScbZeYMpt60A1sdLV1Qe51VqxoAz_ECynrW_cZplp5Ma9GbyWnzYfXlmn_CAg7YxU46XTd-4Yd6pgSRq22WDZ2hhTA8F94TEYbiq6Mdw4.hfMSCBzTUNaYaJUv0SHe5b401k1Zp7_wRtPY_F2_5Hg&dib_tag=se&keywords=rice&qid=1752808082&sr=8-41,Amazon,2025-07-18T08:39:04.379677
B09Q37WL2Q,"22-25 Lbs Rice Dispenser, Large Cereal Dry Food Storage Containers with Measuring Cup,BPA-Free Household for Kitchen Pantry Organization-Grey","22-25 Lbs Rice Dispenser, Large Cereal Dry Food Storage Containers with Measuring Cup,BPA-Free Household for Kitchen Pantry Organization-Grey",,,,4.5,,False,https://m.media-amazon.com/images/I/61iA9ABU5YL._AC_UL320_.jpg,https://www.amazon.com/Lenwi-Dispenser-Containers-Measuring-Organization-Grey/dp/B09Q37WL2Q/ref=sr_1_42?dib=eyJ2IjoiMSJ9.f2ErCrCPpEfN78nkOH6y-GGCQhCRUwGq3npei3lrxK9T87LSs5rt10uZ298mnjqAk0JNqVS6WZE5KeSbG4ZAXNmdmx-N-kHgsrtwgClb5oLeDJ9SiQRT1Cbwu1KXSHrtKQF9tL2nfNIJwkr7cE42rwxWkbyunYeFcJa8RZDjdb1M9cJxPVoN8yoWPF2Gzf7lvDScbZeYMpt60A1sdLV1Qe51VqxoAz_ECynrW_cZplp5Ma9GbyWnzYfXlmn_CAg7YxU46XTd-4Yd6pgSRq22WDZ2hhTA8F94TEYbiq6Mdw4.hfMSCBzTUNaYaJUv0SHe5b401k1Zp7_wRtPY_F2_5Hg&dib_tag=se&keywords=rice&qid=1752808082&sr=8-42,Amazon,2025-07-18T08:39:05.327400
